Date;Action;Message;Crypto ValueBTC
1712469198;Waiting;;10.003566899411826085497523308731615543365478515625
1712469199;Open;;10
1712469200;Update;;9.9900000000000002131628207280300557613372802734375
1712469202;Update;;9.9900000000000002131628207280300557613372802734375
1712469204;Update;;9.9900000000000002131628207280300557613372802734375
1712469206;Update;;9.989971000000000600493876845575869083404541015625
1712469208;Update;;9.989971000000000600493876845575869083404541015625
1712469210;Update;;9.98993899999999968031261232681572437286376953125
1712469212;Update;;9.98993899999999968031261232681572437286376953125
1712469214;Update;;9.98993899999999968031261232681572437286376953125
1712469216;Update;;9.98993899999999968031261232681572437286376953125
1712469218;Update;;9.98993899999999968031261232681572437286376953125
1712469220;Update;;9.98993899999999968031261232681572437286376953125
1712469222;Update;;9.98993899999999968031261232681572437286376953125
1712469224;Update;;9.98993899999999968031261232681572437286376953125
1712469226;Update;;9.98993899999999968031261232681572437286376953125
1712469228;Update;;9.9899409999999999598685462842695415019989013671875
1712469230;Update;;9.9899409999999999598685462842695415019989013671875
1712469232;Update;;9.98993899999999968031261232681572437286376953125
1712469234;Update;;9.98993899999999968031261232681572437286376953125
1712469236;Update;;9.98993899999999968031261232681572437286376953125
1712469238;Update;;9.9899409999999999598685462842695415019989013671875
1712469240;Update;;9.9899409999999999598685462842695415019989013671875
1712469242;Update;;9.9899409999999999598685462842695415019989013671875
1712469244;Update;;9.989971000000000600493876845575869083404541015625
1712469246;Update;;9.989971000000000600493876845575869083404541015625
1712469248;Update;;9.9903040000000000731006366549991071224212646484375
1712469250;Update;;9.9903040000000000731006366549991071224212646484375
1712469252;Update;;9.9903040000000000731006366549991071224212646484375
1712469254;Update;;9.9925080000000008340066415257751941680908203125
1712469256;Update;;9.9925080000000008340066415257751941680908203125
1712469258;Update;;9.9925080000000008340066415257751941680908203125
1712469260;Update;;9.9937389999999997058921508141793310642242431640625
1712469262;Update;;9.9937389999999997058921508141793310642242431640625
1712469264;Update;;9.992976999999999776491677039302885532379150390625
1712469266;Update;;9.992976999999999776491677039302885532379150390625
1712469268;Update;;9.992976999999999776491677039302885532379150390625
1712469270;Update;;9.9918099999999991922550179879181087017059326171875
1712469272;Update;;9.9918099999999991922550179879181087017059326171875
1712469274;Update;;9.9918099999999991922550179879181087017059326171875
1712469276;Update;;9.992266000000000758518581278622150421142578125
1712469278;Update;;9.992266000000000758518581278622150421142578125
1712469280;Update;;9.992266000000000758518581278622150421142578125
1712469282;Update;;9.9922009999999996665565049625001847743988037109375
1712469284;Update;;9.9922009999999996665565049625001847743988037109375
1712469286;Update;;9.9925470000000000680984157952480018138885498046875
1712469288;Update;;9.9925470000000000680984157952480018138885498046875
1712469290;Update;;9.9925470000000000680984157952480018138885498046875
1712469292;Update;;9.9925470000000000680984157952480018138885498046875
1712469294;Update;;9.9925470000000000680984157952480018138885498046875
1712469296;Update;;9.9925470000000000680984157952480018138885498046875
1712469298;Update;;9.9903729999999999478177414857782423496246337890625
1712469300;Update;;9.9903729999999999478177414857782423496246337890625
1712469302;Update;;9.9906249999999996447286321199499070644378662109375
1712469304;Update;;9.9906249999999996447286321199499070644378662109375
1712469306;Update;;9.9906249999999996447286321199499070644378662109375
1712469308;Update;;9.9902829999999998022985892021097242832183837890625
1712469310;Update;;9.9902829999999998022985892021097242832183837890625
1712469312;Update;;9.9902829999999998022985892021097242832183837890625
1712469314;Update;;9.9904489999999999128021954675205051898956298828125
1712469316;Update;;9.9904489999999999128021954675205051898956298828125
1712469318;Update;;9.9904489999999999128021954675205051898956298828125
1712469320;Update;;9.9927790000000005221636456553824245929718017578125
1712469322;Update;;9.9927790000000005221636456553824245929718017578125
1712469324;Update;;9.9928469999999993689243638073094189167022705078125
1712469326;Update;;9.9928469999999993689243638073094189167022705078125
1712469328;Update;;9.9928469999999993689243638073094189167022705078125
1712469330;Update;;9.9934110000000000439968061982654035091400146484375
1712469332;Update;;9.9934110000000000439968061982654035091400146484375
1712469334;Update;;9.9934110000000000439968061982654035091400146484375
1712469336;Update;;9.9932929999999995374082573107443749904632568359375
1712469338;Update;;9.9932929999999995374082573107443749904632568359375
1712469340;Update;;9.9937389999999997058921508141793310642242431640625
1712469342;Update;;9.9937389999999997058921508141793310642242431640625
1712469344;Update;;9.9937389999999997058921508141793310642242431640625
1712469346;Update;;9.993142999999999886995283304713666439056396484375
1712469348;Update;;9.993142999999999886995283304713666439056396484375
1712469350;Update;;9.993142999999999886995283304713666439056396484375
1712469352;Update;;9.9921480000000002519300323911011219024658203125
1712469354;Update;;9.9921480000000002519300323911011219024658203125
1712469356;Update;;9.9921480000000002519300323911011219024658203125
1712469358;Update;;9.9927440000000000708268999005667865276336669921875
1712469360;Update;;9.9927440000000000708268999005667865276336669921875
