Date;Action;Message;Crypto ValueBTC
1712465402;Waiting;;199.997857241069908695862977765500545501708984375
1712465404;Open;;200
1712465406;Update;;199.71289999999999054125510156154632568359375
1712465408;Update;;199.71289999999999054125510156154632568359375
1712465410;Update;;199.71289999999999054125510156154632568359375
1712465412;Update;;199.686000000000007048583938740193843841552734375
1712465414;Update;;199.686000000000007048583938740193843841552734375
1712465416;Update;;199.686000000000007048583938740193843841552734375
1712465418;Update;;199.710100000000011277734301984310150146484375
1712465420;Update;;199.710100000000011277734301984310150146484375
1712465422;Update;;199.710100000000011277734301984310150146484375
1712465424;Update;;199.68090000000000827640178613364696502685546875
1712465426;Update;;199.68090000000000827640178613364696502685546875
1712465428;Update;;199.70720000000000027284841053187847137451171875
1712465430;Update;;199.70720000000000027284841053187847137451171875
1712465432;Update;;199.70720000000000027284841053187847137451171875
1712465434;Update;;199.690100000000001045918907038867473602294921875
1712465436;Update;;199.690100000000001045918907038867473602294921875
1712465438;Update;;199.690100000000001045918907038867473602294921875
1712465440;Update;;199.695799999999991314325598068535327911376953125
1712465442;Update;;199.695799999999991314325598068535327911376953125
1712465444;Update;;199.69859999999999899955582804977893829345703125
1712465446;Update;;199.69859999999999899955582804977893829345703125
1712465448;Update;;199.69859999999999899955582804977893829345703125
1712465450;Update;;199.6802999999999883584678173065185546875
1712465452;Update;;199.6802999999999883584678173065185546875
1712465454;Update;;199.6802999999999883584678173065185546875
1712465456;Update;;199.6861000000000103682396002113819122314453125
1712465458;Update;;199.6861000000000103682396002113819122314453125
1712465460;Update;;199.6861000000000103682396002113819122314453125
1712465462;Update;;199.69859999999999899955582804977893829345703125
1712465464;Update;;199.69859999999999899955582804977893829345703125
1712465466;Update;;199.69859999999999899955582804977893829345703125
1712465468;Update;;199.69859999999999899955582804977893829345703125
1712465470;Update;;199.69859999999999899955582804977893829345703125
1712465472;Update;;199.701400000000006684786058031022548675537109375
1712465474;Update;;199.701400000000006684786058031022548675537109375
1712465476;Update;;199.701400000000006684786058031022548675537109375
1712465478;Update;;199.683799999999990859578247182071208953857421875
1712465480;Update;;199.683799999999990859578247182071208953857421875
1712465482;Update;;199.67590000000001282387529499828815460205078125
1712465484;Update;;199.67590000000001282387529499828815460205078125
1712465486;Update;;199.67590000000001282387529499828815460205078125
1712465488;Update;;199.632599999999996498445398174226284027099609375
1712465490;Update;;199.632599999999996498445398174226284027099609375
1712465492;Update;;199.632599999999996498445398174226284027099609375
1712465494;Update;;199.597000000000008412825991399586200714111328125
1712465496;Update;;199.597000000000008412825991399586200714111328125
1712465498;Update;;199.570300000000003137756721116602420806884765625
1712465500;Update;;199.570300000000003137756721116602420806884765625
1712465502;Update;;199.570300000000003137756721116602420806884765625
1712465504;Update;;199.52510000000000900399754755198955535888671875
1712465506;Update;;199.52510000000000900399754755198955535888671875
1712465508;Update;;199.52510000000000900399754755198955535888671875
1712465510;Update;;199.5312000000000125510268844664096832275390625
1712465512;Update;;199.5312000000000125510268844664096832275390625
1712465514;Update;;199.5312000000000125510268844664096832275390625
1712465516;Update;;199.538600000000002410160959698259830474853515625
1712465518;Update;;199.538600000000002410160959698259830474853515625
1712465520;Update;;199.52719999999999345163814723491668701171875
1712465522;Update;;199.52719999999999345163814723491668701171875
1712465524;Update;;199.52719999999999345163814723491668701171875
1712465526;Update;;199.494200000000006411937647499144077301025390625
1712465528;Update;;199.494200000000006411937647499144077301025390625
1712465530;Update;;199.494200000000006411937647499144077301025390625
1712465532;Update;;199.52629999999999199644662439823150634765625
1712465534;Update;;199.52629999999999199644662439823150634765625
1712465536;Update;;199.5620999999999867213773541152477264404296875
1712465538;Update;;199.5620999999999867213773541152477264404296875
1712465540;Update;;199.5620999999999867213773541152477264404296875
1712465542;Update;;199.55639999999999645297066308557987213134765625
1712465544;Update;;199.55639999999999645297066308557987213134765625
1712465546;Update;;199.55639999999999645297066308557987213134765625
1712465548;Update;;199.5620999999999867213773541152477264404296875
1712465550;Update;;199.5620999999999867213773541152477264404296875
1712465552;Update;;199.5620999999999867213773541152477264404296875
1712465554;Update;;199.54959999999999809006112627685070037841796875
1712465556;Update;;199.54959999999999809006112627685070037841796875
1712465558;Update;;199.532999999999987039700499735772609710693359375
1712465560;Update;;199.532999999999987039700499735772609710693359375
1712465562;Update;;199.532999999999987039700499735772609710693359375
1712465564;Update;;199.54419999999998935891198925673961639404296875
1712465566;Update;;199.54419999999998935891198925673961639404296875
1712465568;Update;;199.54419999999998935891198925673961639404296875
1712465570;Update;;199.53370000000001027729013003408908843994140625
1712465572;Update;;199.53370000000001027729013003408908843994140625
1712465574;Update;;199.542200000000008230927051045000553131103515625
1712465576;Update;;199.542200000000008230927051045000553131103515625
1712465578;Update;;199.542200000000008230927051045000553131103515625
1712465580;Update;;199.532999999999987039700499735772609710693359375
1712465582;Update;;199.532999999999987039700499735772609710693359375
1712465584;Update;;199.532999999999987039700499735772609710693359375
1712465586;Update;;199.55099999999998772182152606546878814697265625
1712465588;Update;;199.55099999999998772182152606546878814697265625
1712465590;Update;;199.55099999999998772182152606546878814697265625
1712465592;Update;;199.548300000000011777956387959420680999755859375
1712465594;Update;;199.548300000000011777956387959420680999755859375
1712465596;Update;;199.5593000000000074578565545380115509033203125
1712465598;Update;;199.5593000000000074578565545380115509033203125
1712465600;Update;;199.5593000000000074578565545380115509033203125
1712465602;Update;;199.623300000000000409272615797817707061767578125
1712465604;Update;;199.623300000000000409272615797817707061767578125
1712465606;Update;;199.623300000000000409272615797817707061767578125
1712465608;Update;;199.60079999999999245119397528469562530517578125
1712465610;Update;;199.60079999999999245119397528469562530517578125
1712465612;Update;;199.592299999999994497557054273784160614013671875
1712465614;Update;;199.592299999999994497557054273784160614013671875
1712465616;Update;;199.592299999999994497557054273784160614013671875
1712465618;Update;;199.570999999999997953636921010911464691162109375
1712465620;Update;;199.570999999999997953636921010911464691162109375
1712465622;Update;;199.570999999999997953636921010911464691162109375
1712465624;Update;;199.56499999999999772626324556767940521240234375
1712465626;Update;;199.56499999999999772626324556767940521240234375
1712465628;Update;;199.56499999999999772626324556767940521240234375
1712465630;Update;;199.57359999999999899955582804977893829345703125
1712465632;Update;;199.57359999999999899955582804977893829345703125
1712465634;Update;;199.57310000000001082298695109784603118896484375
1712465636;Update;;199.57310000000001082298695109784603118896484375
1712465638;Update;;199.57310000000001082298695109784603118896484375
1712465640;Update;;199.546799999999990404830896295607089996337890625
1712465642;Update;;199.546799999999990404830896295607089996337890625
1712465644;Update;;199.546799999999990404830896295607089996337890625
1712465646;Update;;199.528400000000004865796654485166072845458984375
1712465648;Update;;199.528400000000004865796654485166072845458984375
1712465650;Update;;199.5167999999999892679625190794467926025390625
1712465652;Update;;199.5167999999999892679625190794467926025390625
1712465654;Update;;199.5167999999999892679625190794467926025390625
1712465656;Update;;199.503700000000009140421752817928791046142578125
1712465658;Update;;199.503700000000009140421752817928791046142578125
1712465660;Update;;199.503700000000009140421752817928791046142578125
1712465662;Update;;199.498199999999997089616954326629638671875
1712465664;Update;;199.498199999999997089616954326629638671875
1712465666;Update;;199.49299999999999499777914024889469146728515625
1712465668;Update;;199.49299999999999499777914024889469146728515625
1712465670;Update;;199.49299999999999499777914024889469146728515625
1712465672;Update;;199.479199999999991632648743689060211181640625
1712465674;Update;;199.479199999999991632648743689060211181640625
1712465676;Update;;199.479199999999991632648743689060211181640625
1712465678;Update;;199.455999999999988858689903281629085540771484375
1712465680;Update;;199.455999999999988858689903281629085540771484375
1712465682;Update;;199.455999999999988858689903281629085540771484375
1712465684;Update;;199.45130000000000336513039655983448028564453125
1712465686;Update;;199.45130000000000336513039655983448028564453125
1712465688;Update;;199.49639999999999417923390865325927734375
1712465690;Update;;199.49639999999999417923390865325927734375
1712465692;Update;;199.49639999999999417923390865325927734375
1712465694;Update;;199.538399999999995770849636755883693695068359375
1712465696;Update;;199.538399999999995770849636755883693695068359375
1712465698;Update;;199.538399999999995770849636755883693695068359375
1712465700;Update;;199.5212999999999965439201332628726959228515625
1712465702;Update;;199.5212999999999965439201332628726959228515625
1712465704;Update;;199.513599999999996725819073617458343505859375
1712465706;Update;;199.513599999999996725819073617458343505859375
1712465708;Update;;199.513599999999996725819073617458343505859375
1712465710;Update;;199.490600000000000591171556152403354644775390625
1712465712;Update;;199.490600000000000591171556152403354644775390625
1712465714;Update;;199.490600000000000591171556152403354644775390625
1712465716;Update;;199.545800000000014051693142391741275787353515625
1712465718;Update;;199.545800000000014051693142391741275787353515625
1712465720;Update;;199.545800000000014051693142391741275787353515625
1712465722;Update;;199.54009999999999536157702095806598663330078125
1712465724;Update;;199.54009999999999536157702095806598663330078125
1712465726;Update;;199.52879999999998972270986996591091156005859375
1712465728;Update;;199.52879999999998972270986996591091156005859375
1712465730;Update;;199.52879999999998972270986996591091156005859375
1712465732;Update;;199.52240000000000463842297904193401336669921875
1712465734;Update;;199.52240000000000463842297904193401336669921875
1712465736;Update;;199.52240000000000463842297904193401336669921875
1712465738;Update;;199.52240000000000463842297904193401336669921875
1712465740;Update;;199.52240000000000463842297904193401336669921875
1712465742;Update;;199.51609999999999445208231918513774871826171875
1712465744;Update;;199.51609999999999445208231918513774871826171875
1712465746;Update;;199.51609999999999445208231918513774871826171875
1712465748;Update;;199.51429999999999154169927351176738739013671875
1712465750;Update;;199.51429999999999154169927351176738739013671875
1712465752;Update;;199.51429999999999154169927351176738739013671875
1712465754;Update;;199.55140000000000100044417195022106170654296875
1712465756;Update;;199.55140000000000100044417195022106170654296875
1712465758;Update;;199.55140000000000100044417195022106170654296875
1712465760;Update;;199.562399999999996680344338528811931610107421875
1712465762;Update;;199.562399999999996680344338528811931610107421875
1712465764;Update;;199.5439000000000078216544352471828460693359375
1712465766;Update;;199.5439000000000078216544352471828460693359375
1712465768;Update;;199.5439000000000078216544352471828460693359375
1712465770;Update;;199.51240000000001373336999677121639251708984375
1712465772;Update;;199.51240000000001373336999677121639251708984375
1712465774;Update;;199.51240000000001373336999677121639251708984375
1712465776;Update;;199.526600000000001955413608811795711517333984375
1712465778;Update;;199.526600000000001955413608811795711517333984375
1712465780;Update;;199.528699999999986403054208494722843170166015625
1712465782;Update;;199.528699999999986403054208494722843170166015625
1712465784;Update;;199.528699999999986403054208494722843170166015625
1712465786;Update;;199.4986000000000103682396002113819122314453125
1712465788;Update;;199.4986000000000103682396002113819122314453125
1712465790;Update;;199.4986000000000103682396002113819122314453125
1712465792;Update;;199.497199999999992314769770018756389617919921875
1712465794;Update;;199.497199999999992314769770018756389617919921875
1712465796;Update;;199.51240000000001373336999677121639251708984375
1712465798;Update;;199.51240000000001373336999677121639251708984375
1712465800;Update;;199.51240000000001373336999677121639251708984375
1712465802;Update;;199.51519999999999299689079634845256805419921875
1712465804;Update;;199.51519999999999299689079634845256805419921875
1712465806;Update;;199.51519999999999299689079634845256805419921875
1712465808;Update;;199.5095000000000027284841053187847137451171875
1712465810;Update;;199.5095000000000027284841053187847137451171875
1712465812;Update;;199.5095000000000027284841053187847137451171875
1712465814;Update;;199.5095000000000027284841053187847137451171875
1712465816;Update;;199.5095000000000027284841053187847137451171875
1712465818;Update;;199.499899999999996680344338528811931610107421875
1712465820;Update;;199.499899999999996680344338528811931610107421875
1712465822;Update;;199.499899999999996680344338528811931610107421875
1712465824;Update;;199.499899999999996680344338528811931610107421875
1712465826;Update;;199.499899999999996680344338528811931610107421875
1712465828;Update;;199.499899999999996680344338528811931610107421875
1712465830;Update;;199.485500000000001818989403545856475830078125
1712465832;Update;;199.485500000000001818989403545856475830078125
1712465834;Update;;199.51240000000001373336999677121639251708984375
1712465836;Update;;199.51240000000001373336999677121639251708984375
1712465838;Update;;199.51240000000001373336999677121639251708984375
1712465840;Update;;199.526600000000001955413608811795711517333984375
1712465842;Update;;199.526600000000001955413608811795711517333984375
1712465844;Update;;199.526600000000001955413608811795711517333984375
1712465846;Update;;199.518100000000004001776687800884246826171875
1712465848;Update;;199.518100000000004001776687800884246826171875
1712465850;Update;;199.518100000000004001776687800884246826171875
1712465852;Update;;199.506699999999995043253875337541103363037109375
1712465854;Update;;199.506699999999995043253875337541103363037109375
1712465856;Update;;199.49889999999999190549715422093868255615234375
1712465858;Update;;199.49889999999999190549715422093868255615234375
1712465860;Update;;199.49889999999999190549715422093868255615234375
1712465862;Update;;199.5095000000000027284841053187847137451171875
1712465864;Update;;199.5095000000000027284841053187847137451171875
1712465866;Update;;199.5095000000000027284841053187847137451171875
1712465868;Update;;199.433799999999990859578247182071208953857421875
1712465870;Update;;199.433799999999990859578247182071208953857421875
1712465872;Update;;199.44130000000001246007741428911685943603515625
1712465874;Update;;199.44130000000001246007741428911685943603515625
1712465876;Update;;199.44130000000001246007741428911685943603515625
1712465878;Update;;199.43459999999998899511410854756832122802734375
1712465880;Update;;199.43459999999998899511410854756832122802734375
1712465882;Update;;199.43459999999998899511410854756832122802734375
1712465884;Update;;199.43459999999998899511410854756832122802734375
1712465886;Update;;199.43459999999998899511410854756832122802734375
1712465888;Update;;199.43459999999998899511410854756832122802734375
1712465890;Update;;199.449199999999990495780366472899913787841796875
1712465892;Update;;199.449199999999990495780366472899913787841796875
1712465894;Update;;199.45220000000000482032191939651966094970703125
1712465896;Update;;199.45220000000000482032191939651966094970703125
1712465898;Update;;199.45220000000000482032191939651966094970703125
1712465900;Update;;199.498099999999993769961292855441570281982421875
1712465902;Update;;199.498099999999993769961292855441570281982421875
1712465904;Update;;199.498099999999993769961292855441570281982421875
1712465906;Update;;199.50110000000000809450284577906131744384765625
1712465908;Update;;199.50110000000000809450284577906131744384765625
1712465910;Update;;199.49029999999999063220457173883914947509765625
1712465912;Update;;199.49029999999999063220457173883914947509765625
1712465914;Update;;199.49029999999999063220457173883914947509765625
1712465916;Update;;199.4642000000000052750692702829837799072265625
1712465918;Update;;199.4642000000000052750692702829837799072265625
1712465920;Update;;199.4642000000000052750692702829837799072265625
1712465922;Update;;199.458300000000008367351256310939788818359375
1712465924;Update;;199.458300000000008367351256310939788818359375
1712465926;Update;;199.439400000000006230038707144558429718017578125
1712465928;Update;;199.439400000000006230038707144558429718017578125
1712465930;Update;;199.439400000000006230038707144558429718017578125
1712465932;Update;;199.4442999999999983629095368087291717529296875
1712465934;Update;;199.4442999999999983629095368087291717529296875
1712465936;Update;;199.4442999999999983629095368087291717529296875
1712465938;Update;;199.44409999999999172359821386635303497314453125
1712465940;Update;;199.44409999999999172359821386635303497314453125
1712465942;Update;;199.44409999999999172359821386635303497314453125
1712465944;Update;;199.44409999999999172359821386635303497314453125
1712465946;Update;;199.44409999999999172359821386635303497314453125
1712465948;Update;;199.44409999999999172359821386635303497314453125
1712465950;Update;;199.44409999999999172359821386635303497314453125
1712465952;Update;;199.44409999999999172359821386635303497314453125
1712465954;Update;;199.435300000000012232703738845884799957275390625
1712465956;Update;;199.435300000000012232703738845884799957275390625
1712465958;Update;;199.435300000000012232703738845884799957275390625
1712465960;Update;;199.486799999999988131094141863286495208740234375
